City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Teahupoo,PF,75.16,light rain,-17.8333,-149.2667,Vanira Lodge
1,Sabla,NG,91.33,broken clouds,12.7525,4.7077,
2,Hilo,US,85.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
3,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
5,Bengkulu,ID,75.45,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
6,Kamphaeng Phet,TH,79.12,few clouds,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
7,Kavaratti,IN,80.35,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
10,Benguela,AO,77.29,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
13,Bambanglipuro,ID,75.38,broken clouds,-7.95,110.2833,Puri Brata
17,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
20,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
23,Arraial Do Cabo,BR,78.66,thunderstorm,-22.9661,-42.0278,Pousada Porto Praia
26,Caravelas,BR,76.86,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
29,Andrews,US,73.27,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
31,Atuona,PF,78.6,light rain,-9.8,-139.0333,Villa Enata
35,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
38,Georgetown,MY,78.75,scattered clouds,5.4112,100.3354,Cititel Penang
48,Nata,PA,84.07,overcast clouds,8.3333,-80.5167,Rey David
53,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
54,Puerto Baquerizo Moreno,EC,81.59,few clouds,-0.9,-89.6,Hotel los Algarrobos
58,Rikitea,PF,78.28,light rain,-23.1203,-134.9692,People ThankYou
60,El Rosario,MX,85.98,overcast clouds,24.2556,-107.1828,Mi casa
63,Sao Joao Da Barra,BR,77.88,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
73,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
75,Cabo San Lucas,MX,79.9,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
80,Yaan,NG,80.94,overcast clouds,7.3833,8.5667,
83,Albany,US,73.17,broken clouds,42.6001,-73.9662,
88,Phetchaburi,TH,72.84,broken clouds,12.9667,99.5833,ไร่แม่คะเมยฮิลล์ แก่งกระจาน เพชรบุรี
89,Guanare,VE,89.44,broken clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
90,Ugoofaaru,MV,83.97,overcast clouds,5.6667,73.0,Ungoofaaru Inn
91,Atar,MR,76.93,clear sky,20.5169,-13.0499,Oumou Elghoura
92,Dwarka,IN,78.58,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
94,Angelopolis,US,78.21,clear sky,34.0522,-118.2437,Kawada Hotel
96,Teopisca,MX,77.47,broken clouds,16.5167,-92.4833,Hotel El Cielo
97,Barmer,IN,77.27,few clouds,25.75,71.3833,Jain Dharamshala
99,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
101,Butaritari,KI,81.72,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
102,Kiunga,PG,75.9,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
110,Mogadishu,SO,81.86,broken clouds,2.0371,45.3438,Hotel Juba
113,Bam,IR,77.09,broken clouds,29.106,58.357,Bam Tourist Hotel
117,Coari,BR,76.37,moderate rain,-4.085,-63.1414,Dellrey Hotel Center
119,Santa Isabel Do Rio Negro,BR,79.25,overcast clouds,-0.4139,-65.0192,Hotel GSA
122,Adrar,MR,74.28,clear sky,20.5022,-10.0711,
124,Parkersburg,US,72.21,overcast clouds,39.2667,-81.5615,The Blennerhassett Hotel
126,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
127,Bubaque,GW,75.34,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
132,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
141,Hithadhoo,MV,83.35,overcast clouds,-0.6,73.0833,Scoop Guest House
142,Manhattan,US,75.34,clear sky,40.7834,-73.9662,The Mark Hotel
144,Bonfim,BR,86.61,overcast clouds,3.0833,-59.95,
151,Olinda,BR,82.13,clear sky,-8.0089,-34.8553,Flat Quatro Rodas Olinda
152,Micheweni,TZ,78.76,moderate rain,-4.9667,39.8333,
154,Katherine,AU,79.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
155,Belmonte,BR,78.6,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
160,Caraballeda,VE,82.47,few clouds,10.6112,-66.8522,Hotel 15 Letras
165,Mayumba,GA,76.46,broken clouds,-3.432,10.6554,LIKWALE LODGE
167,Vidalia,US,80.71,clear sky,32.2177,-82.4135,Quality Inn & Suites
171,Bharatpur,IN,84.63,few clouds,27.2167,77.4833,OYO 22446 Sonar Haveli
175,Sao Miguel,BR,83.17,few clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
176,Kavieng,PG,84.38,broken clouds,-2.5744,150.7967,Nusa Island Retreat
182,Paracuru,BR,82.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
184,Antonina,BR,78.42,overcast clouds,-25.4286,-48.7119,Hotel Capelista
