City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Teahupoo,PF,-17.8333,-149.2667,75.16,76,35,20.15,light rain
1,Sabla,NG,12.7525,4.7077,91.33,25,75,9.24,broken clouds
2,Hilo,US,19.7297,-155.09,85.28,83,100,3.44,light rain
3,Puerto Ayora,EC,-0.7393,-90.3518,84.16,81,74,9.24,broken clouds
4,Ushuaia,AR,-54.8,-68.3,56.86,58,75,5.75,broken clouds
5,Bengkulu,ID,-3.8004,102.2655,75.45,87,61,3.8,broken clouds
6,Kamphaeng Phet,TH,16.25,99.5,79.12,61,12,1.01,few clouds
7,Kavaratti,IN,10.5669,72.642,80.35,82,100,20.6,overcast clouds
8,New Norfolk,AU,-42.7826,147.0587,53.89,72,100,1.01,overcast clouds
9,Charlestown,AU,-32.95,151.6667,66.11,95,36,1.99,scattered clouds
10,Benguela,AO,-12.5763,13.4055,77.29,85,27,3.31,scattered clouds
11,Dikson,RU,73.5069,80.5464,20.46,96,100,10.22,overcast clouds
12,Mandurah,AU,-32.55,115.7,52.92,81,0,7.4,clear sky
13,Bambanglipuro,ID,-7.95,110.2833,75.38,87,53,3.85,broken clouds
14,Kodiak,US,57.79,-152.4072,45.91,46,0,19.57,clear sky
15,Pimentel,PE,-6.8367,-79.9342,70.09,68,20,21.85,few clouds
16,Ilulissat,GL,69.2167,-51.1,21.22,86,100,4.61,overcast clouds
17,Vaini,TO,-21.2,-175.2,82.56,89,20,6.91,few clouds
18,Ancud,CL,-41.8697,-73.8203,54.23,92,55,3.83,broken clouds
19,San Jeronimo,PE,-11.9472,-75.2829,54.55,71,32,5.93,scattered clouds
20,Ambon,ID,-3.6954,128.1814,77.14,88,40,4.61,scattered clouds
21,Tasiilaq,GL,65.6145,-37.6368,26.76,82,100,5.19,overcast clouds
22,Qaanaaq,GL,77.484,-69.3632,-0.38,94,100,6.93,overcast clouds
23,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,89,0,5.75,thunderstorm
24,Mpanda,TZ,-6.3655,31.0409,65.34,96,86,1.7,overcast clouds
25,Kama,RU,56.3051,54.0936,33.62,97,66,2.01,broken clouds
26,Caravelas,BR,-17.7125,-39.2481,76.86,84,5,5.64,clear sky
27,Esna,EG,25.2934,32.554,69.82,24,23,14.0,few clouds
28,Marsa Matruh,EG,31.3525,27.2453,59.2,72,0,9.22,clear sky
29,Andrews,US,32.3187,-102.5457,73.27,4,0,13.8,clear sky
30,Hobart,AU,-42.8794,147.3294,54.23,83,0,8.05,clear sky
31,Atuona,PF,-9.8,-139.0333,78.6,80,50,17.43,light rain
32,Jamestown,US,42.097,-79.2353,69.39,62,40,6.91,scattered clouds
33,Hauterive,FR,46.0901,3.4459,52.75,95,88,0.92,overcast clouds
34,Hirtshals,DK,57.5881,9.9592,43.39,97,100,9.1,overcast clouds
35,Souillac,MU,-20.5167,57.5167,77.38,88,75,14.97,broken clouds
36,Nikolskoye,RU,59.7035,30.7861,35.87,92,87,2.44,overcast clouds
37,Bay City,US,43.5945,-83.8889,65.1,94,100,12.66,overcast clouds
38,Georgetown,MY,5.4112,100.3354,78.75,93,40,2.3,scattered clouds
39,Praya,CV,14.9215,-23.5087,70.34,73,40,19.57,scattered clouds
40,Havoysund,NO,70.9963,24.6622,32.23,85,95,6.73,overcast clouds
41,Pevek,RU,69.7008,170.3133,4.06,86,65,3.51,broken clouds
42,Kruisfontein,ZA,-34.0033,24.7314,58.89,82,87,8.9,overcast clouds
43,Mataura,NZ,-46.1927,168.8643,53.47,57,54,2.59,broken clouds
44,Panguipulli,CL,-39.6333,-72.3333,49.89,84,4,2.84,clear sky
