City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ust-Kulom,61.6864,53.6902,37.8,100,100,5.26,RU,2022-04-11 22:37:15
1,Lake City,30.1897,-82.6393,81.79,31,0,3.44,US,2022-04-11 22:34:17
2,Tigil,57.8,158.6667,20.91,89,100,8.39,RU,2022-04-11 22:37:16
3,Havre-Saint-Pierre,50.2334,-63.5986,46.76,46,0,12.66,CA,2022-04-11 22:37:17
4,San Cristobal,7.7669,-72.225,78.98,65,75,3.56,VE,2022-04-11 22:32:49
5,Aksarka,66.5606,67.7975,34.11,100,100,9.78,RU,2022-04-11 22:37:17
6,Vaini,-21.2,-175.2,84.36,84,75,9.22,TO,2022-04-11 22:37:18
7,Airai,-8.9266,125.4092,63.39,63,78,2.04,TL,2022-04-11 22:37:18
8,Qaanaaq,77.484,-69.3632,-6.34,75,29,5.53,GL,2022-04-11 22:37:19
9,Yellowknife,62.456,-114.3525,16.32,62,75,16.11,CA,2022-04-11 22:37:19
10,Atuona,-9.8,-139.0333,78.64,80,27,15.01,PF,2022-04-11 22:37:19
11,Punta Arenas,-53.15,-70.9167,44.71,70,75,11.5,CL,2022-04-11 22:37:20
12,Piossasco,44.9905,7.4637,53.19,55,89,2.08,IT,2022-04-11 22:37:20
13,Ajdabiya,30.7554,20.2263,57.02,54,2,12.06,LY,2022-04-11 22:37:21
14,Lebu,-37.6167,-73.65,53.38,82,100,5.44,CL,2022-04-11 22:37:21
15,Chokurdakh,70.6333,147.9167,5.63,89,100,12.37,RU,2022-04-11 22:37:22
16,Rikitea,-23.1203,-134.9692,79.2,71,1,14.5,PF,2022-04-11 22:37:22
17,Kerchevskiy,59.946,56.2884,35.51,99,98,4.18,RU,2022-04-11 22:37:22
18,Samana,19.2056,-69.3369,80.56,77,3,9.86,DO,2022-04-11 22:37:23
19,Hobart,-42.8794,147.3294,57.25,67,40,6.91,AU,2022-04-11 22:35:07
20,Dikson,73.5069,80.5464,9.84,87,100,22.35,RU,2022-04-11 22:37:23
21,Port Elizabeth,-33.918,25.5701,65.32,91,0,11.5,ZA,2022-04-11 22:37:24
22,Cape Town,-33.9258,18.4232,71.91,55,0,7.0,ZA,2022-04-11 22:35:02
23,Cayenne,4.9333,-52.3333,81.09,1,75,5.75,GF,2022-04-11 22:37:24
24,Kapaa,22.0752,-159.319,81.19,75,40,11.5,US,2022-04-11 22:37:25
25,Ushuaia,-54.8,-68.3,42.46,70,75,14.97,AR,2022-04-11 22:37:25
26,Mataura,-46.1927,168.8643,50.49,95,100,5.32,NZ,2022-04-11 22:37:26
27,Albany,42.6001,-73.9662,59.41,39,94,4.74,US,2022-04-11 22:35:30
28,Namibe,-15.1961,12.1522,76.55,76,95,11.48,AO,2022-04-11 22:37:26
29,Tasiilaq,65.6145,-37.6368,15.96,86,100,4.32,GL,2022-04-11 22:37:27
30,Faanui,-16.4833,-151.75,82.24,69,9,14.03,PF,2022-04-11 22:33:56
31,Nanchang,28.6833,115.8833,74.21,59,8,1.19,CN,2022-04-11 22:37:27
32,Vao,-22.6667,167.4833,76.77,73,7,13.47,NC,2022-04-11 22:37:27
33,Hermanus,-34.4187,19.2345,67.12,60,3,5.39,ZA,2022-04-11 22:37:28
34,Anqing,30.5092,117.0506,72.55,61,4,2.73,CN,2022-04-11 22:37:28
35,Bilibino,68.0546,166.4372,-6.29,82,32,1.36,RU,2022-04-11 22:37:29
36,Rawson,-43.3002,-65.1023,58.24,53,81,19.13,AR,2022-04-11 22:37:29
37,Huron,41.1501,-82.5499,58.69,90,100,15.75,US,2022-04-11 22:36:50
38,Zyryanka,65.75,150.85,6.55,85,28,11.14,RU,2022-04-11 22:37:29
39,Butaritari,3.0707,172.7902,80.91,75,37,9.98,KI,2022-04-11 22:37:30
40,Nizwa,22.9333,57.5333,79.29,12,0,4.72,OM,2022-04-11 22:37:30
41,Toledo,39.8333,-4.0,56.32,80,100,12.06,ES,2022-04-11 22:36:24
42,Visnes,59.3556,5.2242,40.21,75,100,5.75,NO,2022-04-11 22:37:31
43,Ostrovnoy,68.0531,39.5131,32.59,86,75,21.12,RU,2022-04-11 22:38:31
44,Ridgecrest,35.6225,-117.6709,71.46,29,75,42.57,US,2022-04-11 22:38:32
45,Pierre,44.3683,-100.351,56.86,36,0,17.27,US,2022-04-11 22:34:28
46,Hithadhoo,-0.6,73.0833,83.7,67,49,12.35,MV,2022-04-11 22:38:32
47,Tuktoyaktuk,69.4541,-133.0374,1.4,71,20,4.61,CA,2022-04-11 22:38:32
48,Bredasdorp,-34.5322,20.0403,65.37,72,0,1.21,ZA,2022-04-11 22:38:33
49,Sitka,57.0531,-135.33,37.29,23,20,20.71,US,2022-04-11 22:38:33
50,Itororo,-15.1169,-40.0703,75.45,73,96,2.24,BR,2022-04-11 22:38:34
51,Saint-Philippe,-21.3585,55.7679,76.59,84,96,14.7,RE,2022-04-11 22:38:34
52,Aswan,24.0934,32.907,85.3,13,0,13.8,EG,2022-04-11 22:38:34
53,Nome,64.5011,-165.4064,34.11,69,0,14.97,US,2022-04-11 22:38:35
54,Shingu,33.7333,135.9833,66.47,65,62,1.16,JP,2022-04-11 22:38:35
55,Mazamari,-11.3258,-74.5308,74.21,93,96,1.01,PE,2022-04-11 22:38:35
56,Broome,42.2506,-75.833,59.77,35,100,10.36,US,2022-04-11 22:38:36
57,Enkoping,59.6361,17.0777,36.82,87,55,5.03,SE,2022-04-11 22:38:36
58,Isangel,-19.55,169.2667,83.98,70,86,10.49,VU,2022-04-11 22:38:37
59,Sangar,63.9242,127.4739,9.81,81,36,0.56,RU,2022-04-11 22:38:37
60,Moengo,5.6167,-54.4,74.17,97,77,4.03,SR,2022-04-11 22:38:37
61,Thompson,55.7435,-97.8558,32.16,55,100,3.44,CA,2022-04-11 22:38:38
62,Cabo San Lucas,22.8909,-109.9124,87.62,55,40,26.46,MX,2022-04-11 22:36:21
63,Torbay,47.6666,-52.7314,35.58,92,100,25.32,CA,2022-04-11 22:38:38
64,Verkhoyansk,67.5447,133.385,2.62,91,88,2.91,RU,2022-04-11 22:38:38
65,Zharkent,44.1628,80.0,59.18,35,96,2.62,KZ,2022-04-11 22:38:39
66,Victoria,22.2855,114.1577,75.33,87,1,4.0,HK,2022-04-11 22:35:15
67,Lucapa,-8.4192,20.7447,67.14,87,100,2.93,AO,2022-04-11 22:38:39
68,Acapulco,16.8634,-99.8901,85.82,66,40,11.5,MX,2022-04-11 22:37:43
69,Angoche,-16.2325,39.9086,76.75,89,49,2.55,MZ,2022-04-11 22:38:40
70,Kodiak,57.79,-152.4072,51.31,24,0,14.97,US,2022-04-11 22:38:40
71,Urumqi,43.801,87.6005,41.95,31,0,2.24,CN,2022-04-11 22:38:41
72,Vestmannaeyjar,63.4427,-20.2734,40.42,71,100,22.57,IS,2022-04-11 22:38:41
73,Chimore,-16.9833,-65.1333,74.32,97,97,2.24,BO,2022-04-11 22:38:41
74,Santa Isabel,-23.3156,-46.2214,72.7,89,32,1.3,BR,2022-04-11 22:38:42
75,Kachug,53.9606,105.8817,23.04,86,57,3.65,RU,2022-04-11 22:38:42
76,Bluff,-46.6,168.3333,50.81,59,94,20.6,NZ,2022-04-11 22:38:42
77,Saint-Georges,12.0564,-61.7485,80.28,83,20,13.8,GD,2022-04-11 22:38:43
78,Gat,31.61,34.7642,59.81,100,31,8.63,IL,2022-04-11 22:38:43
79,Panorama,40.5878,23.0315,45.95,52,1,1.99,GR,2022-04-11 22:38:44
80,Tiksi,71.6872,128.8694,-3.14,98,100,6.82,RU,2022-04-11 22:38:44
81,Przhevalskoye,55.5093,31.8482,35.4,75,100,4.38,RU,2022-04-11 22:38:44
82,Souillac,-20.5167,57.5167,75.58,94,75,10.36,MU,2022-04-11 22:38:45
83,Qui Nhon,13.7667,109.2333,72.77,88,93,3.33,VN,2022-04-11 22:38:45
84,Guerrero Negro,27.9769,-114.0611,66.87,55,0,14.36,MX,2022-04-11 22:35:09
85,Pauini,-7.7136,-66.9764,75.65,96,87,2.35,BR,2022-04-11 22:38:46
86,Port Alfred,-33.5906,26.891,67.17,85,99,1.99,ZA,2022-04-11 22:38:46
87,Sobolevo,54.4299,31.8996,36.81,73,100,6.98,RU,2022-04-11 22:38:46
88,Sazonovo,59.0919,35.2268,27.64,97,98,2.04,RU,2022-04-11 22:38:47
89,Pacific Grove,36.6177,-121.9166,58.41,62,20,19.57,US,2022-04-11 22:38:47
90,Faya,18.3851,42.4509,64.51,49,2,2.08,SA,2022-04-11 22:39:48
