City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bambanglipuro,-7.95,110.2833,77.45,84,91,1.59,ID,2022-04-06 17:26:05
1,Barrow,71.2906,-156.7887,-21.98,76,0,10.36,US,2022-04-06 17:26:05
2,Vaini,-21.2,-175.2,73.56,100,40,3.44,TO,2022-04-06 17:26:06
3,Ancud,-41.8697,-73.8203,59.23,96,100,16.2,CL,2022-04-06 17:26:06
4,Lata,40.1629,-8.3327,54.81,63,5,11.43,PT,2022-04-06 17:26:06
5,Fort Nelson,58.8053,-122.7002,40.59,33,20,12.66,CA,2022-04-06 17:21:25
6,Chokwe,-24.5333,32.9833,88.27,38,84,7.9,MZ,2022-04-06 17:26:07
7,Abu Samrah,35.3029,37.1841,62.67,61,42,18.99,SY,2022-04-06 17:26:07
8,Hermanus,-34.4187,19.2345,59.81,66,93,13.42,ZA,2022-04-06 17:26:08
9,Asosa,10.0667,34.5333,70.03,57,65,5.84,ET,2022-04-06 17:26:08
10,Asau,46.4333,26.4,56.95,52,63,4.38,RO,2022-04-06 17:26:09
11,Kodiak,57.79,-152.4072,33.31,100,100,0.0,US,2022-04-06 17:23:35
12,Atuona,-9.8,-139.0333,78.82,75,43,17.6,PF,2022-04-06 17:26:09
13,Ushuaia,-54.8,-68.3,46.02,81,75,27.63,AR,2022-04-06 17:26:09
14,Hami,42.8,93.45,65.62,15,8,3.53,CN,2022-04-06 17:26:10
15,Sampit,-2.5333,112.95,73.36,98,100,2.42,ID,2022-04-06 17:26:10
16,Pevek,69.7008,170.3133,-22.22,100,100,3.8,RU,2022-04-06 17:26:11
17,Port Arthur,38.8,121.2667,37.62,51,94,6.87,CN,2022-04-06 17:26:11
18,Winnemucca,40.973,-117.7357,46.45,25,0,9.22,US,2022-04-06 17:22:36
19,New Norfolk,-42.7826,147.0587,48.7,70,0,3.13,AU,2022-04-06 17:26:12
20,Bethel,41.3712,-73.414,50.9,89,100,14.97,US,2022-04-06 17:23:44
21,Premia De Mar,41.4921,2.3652,63.66,65,69,6.96,ES,2022-04-06 17:26:12
22,Longyearbyen,78.2186,15.6401,13.84,62,75,13.8,SJ,2022-04-06 17:23:29
23,Katsuura,35.1333,140.3,57.79,83,100,8.66,JP,2022-04-06 17:24:52
24,Punta Arenas,-53.15,-70.9167,46.51,49,0,13.8,CL,2022-04-06 17:26:13
25,Albany,42.6001,-73.9662,55.81,61,100,3.18,US,2022-04-06 17:21:49
26,Bonnyville,54.2668,-110.735,38.52,98,100,8.72,CA,2022-04-06 17:22:06
27,Hithadhoo,-0.6,73.0833,83.16,65,4,3.38,MV,2022-04-06 17:26:13
28,Zhaotong,27.3167,103.7167,47.88,79,100,2.51,CN,2022-04-06 17:26:14
29,Kavaratti,10.5669,72.642,84.09,71,100,10.04,IN,2022-04-06 17:26:14
30,Portland,45.5234,-122.6762,53.94,63,20,8.99,US,2022-04-06 17:22:40
31,Rikitea,-23.1203,-134.9692,78.64,71,51,13.47,PF,2022-04-06 17:24:28
32,Butaritari,3.0707,172.7902,81.73,72,100,21.85,KI,2022-04-06 17:26:15
33,Kapaa,22.0752,-159.319,69.19,95,75,8.05,US,2022-04-06 17:26:15
34,Mahebourg,-20.4081,57.7,79.25,78,40,9.22,MU,2022-04-06 17:26:15
35,Whitehorse,60.7161,-135.0538,29.01,62,75,13.8,CA,2022-04-06 17:26:16
36,Nanortalik,60.1432,-45.2371,32.81,81,22,5.86,GL,2022-04-06 17:26:16
37,Lavrentiya,65.5833,-171.0,-15.72,95,57,7.96,RU,2022-04-06 17:26:17
38,Yellowknife,62.456,-114.3525,28.42,83,75,9.22,CA,2022-04-06 17:22:05
39,Kruisfontein,-34.0033,24.7314,58.89,70,11,25.01,ZA,2022-04-06 17:26:15
40,Bluff,-46.6,168.3333,49.75,59,98,12.86,NZ,2022-04-06 17:26:17
41,College,64.8569,-147.8028,23.58,85,75,0.0,US,2022-04-06 17:26:18
42,Mar Del Plata,-38.0023,-57.5575,82.42,53,0,17.27,AR,2022-04-06 17:26:18
43,Esperance,-33.8667,121.9,58.84,80,64,10.71,AU,2022-04-06 17:26:18
44,Chokurdakh,70.6333,147.9167,-25.1,100,28,3.02,RU,2022-04-06 17:26:19
45,Hobart,-42.8794,147.3294,49.05,82,0,8.05,AU,2022-04-06 17:26:19
46,Agbor,6.2518,6.1934,88.3,57,86,10.16,NG,2022-04-06 17:26:20
47,Pisco,-13.7,-76.2167,75.25,64,0,17.27,PE,2022-04-06 17:24:57
48,Winslow,35.0242,-110.6974,60.96,18,0,11.5,US,2022-04-06 17:27:21
49,Tuatapere,-46.1333,167.6833,46.42,76,98,1.9,NZ,2022-04-06 17:26:11
50,Broome,42.2506,-75.833,56.17,82,100,10.36,US,2022-04-06 17:27:21
51,Hofn,64.2539,-15.2082,33.82,44,20,24.16,IS,2022-04-06 17:27:21
52,Cape Town,-33.9258,18.4232,61.27,65,40,6.91,ZA,2022-04-06 17:27:22
